"ID Luminaria","Sin Luz","Tipo Luminaria","Dirección","Barrio","Estado de la base","Medidor","Latitud","Longitud"
"Led_RoqueSaenzPena3784","","LED 150W","Roque Saenz Pena 3784","San Clemente","Con base en buenas condiciones","","-30.765868","-57.987986"
"Led_RoqueSaenzPena3709","","LED 150W","Roque Saenz Pena 3709","San Clemente","Con base en buenas condiciones","","-30.765702","-57.987444"
"Led_RoqueSaenzPena3601","","LED 150W","Roque Saenz Pena 3601","San Clemente","Sin base","","-30.76508","-57.986736"
"Led_RoqueSaenzPena3584","","LED 150W","Roque Saenz Pena 3584","San Clemente","Con base en buenas condiciones","","-30.764683","-57.986618"
"Led_RoqueSaenzPena3488","","LED 150W","Roque Saenz Pena 3488","San Clemente","Con base en buenas condiciones","","-30.764098","-57.985942"
"Led_RoqueSaenzPena3384","","LED 150W","Roque Saenz Pena 3384","San Clemente","Con base en buenas condiciones","","-30.763475","-57.985228"
"Led_JuanBautistaAlberdi3915","","LED 150W","Juan Bautista Alberdi 3915","San Clemente","Con base en buenas condiciones","","-30.766255","-57.989568"
"Led_JuanBautistaAlberdi3890","","LED 150W","Juan Bautista Alberdi 3890","San Clemente","Sin base","","-30.765794","-57.989418"
"Led_JuanBautistaAlberdi3784","True","LED 150W","Juan Bautista Alberdi 3784","San Clemente","Con base en buenas condiciones","","-30.765218","-57.988731"
"Led_JuanBautistaAlberdi3684","","LED 150W","Juan Bautista Alberdi 3684","San Clemente","Con base en buenas condiciones","","-30.764656","-57.988071"
"Led_JuanBautistaAlberdi3611","","LED 150W","Juan Bautista Alberdi 3611","San Clemente","Base deteriorada","","-30.764471","-57.987535"
"Led_JuanBautistaAlberdi3519","","LED 150W","Juan Bautista Alberdi 3519","San Clemente","Con base en buenas condiciones","","-30.763927","-57.986838"
"Led_JuanBautistaAlberdi3413","","LED 150W","Juan Bautista Alberdi 3413","San Clemente","Con base en buenas condiciones","","-30.763273","-57.986146"
"Led_JuanBautistaAlberdi3386","","LED 150W","Juan Bautista Alberdi 3386","San Clemente","Con base en buenas condiciones","","-30.76283","-57.986006"
"Led_EntreRios3982","","LED 150W","Entre Rios 3982","San Clemente","Con base en buenas condiciones","","-30.765725","-57.990882"
"Led_EntreRios3919","","LED 150W","Entre Rios 3919","San Clemente","Con base en buenas condiciones","","-30.76561","-57.990362"
